날짜,지점,강수량(mm)
2020-01,108,0.1
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,1.8
2020-01,108,46.3
2020-01,108,11.6
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,0.6
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,
2020-01,108,0.1
2020-01,108,0
2020-01,108,
2020-01,108,
2020-01,108,0
2020-02,108,
2020-02,108,
2020-02,108,0
2020-02,108,1.7
2020-02,108,
2020-02,108,
2020-02,108,0
2020-02,108,0
2020-02,108,0
2020-02,108,0
2020-02,108,
2020-02,108,6.7
2020-02,108,
2020-02,108,
2020-02,108,2
2020-02,108,13.4
2020-02,108,1
2020-02,108,
2020-02,108,
2020-02,108,
2020-02,108,4.2
2020-02,108,3.1
2020-02,108,
2020-02,108,
2020-02,108,16.6
2020-02,108,0
2020-02,108,
2020-02,108,3.9
2020-02,108,0.5
2020-03,108,0.2
2020-03,108,0
2020-03,108,
2020-03,108,0
2020-03,108,
2020-03,108,
2020-03,108,
2020-03,108,
2020-03,108,
2020-03,108,11.8
2020-03,108,
2020-03,108,
2020-03,108,0.5
2020-03,108,
2020-03,108,
2020-03,108,
2020-03,108,
2020-03,108,
2020-03,108,0
2020-03,108,
2020-03,108,
2020-03,108,
2020-03,108,
2020-03,108,
2020-03,108,
2020-03,108,1.8
2020-03,108,2
2020-03,108,
2020-03,108,
2020-03,108,
2020-03,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,6.5
2020-04,108,
2020-04,108,10.3
2020-04,108,0.1
2020-04,108,
2020-04,108,0
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-04,108,
2020-05,108,
2020-05,108,0
2020-05,108,0
2020-05,108,
2020-05,108,
2020-05,108,
2020-05,108,
2020-05,108,2.3
2020-05,108,24.4
2020-05,108,1.3
2020-05,108,3.4
2020-05,108,0.7
2020-05,108,
